4.988658428192138672e-01,0.000000000000000000e+00
7.210584878921508789e-01,0.000000000000000000e+00
9.432458877563476562e-01,0.000000000000000000e+00
1.165434718132019043e+00,0.000000000000000000e+00
1.387627959251403809e+00,0.000000000000000000e+00
1.609825134277343750e+00,0.000000000000000000e+00
1.832026004791259766e+00,-1.067864104414281851e-32
2.054231405258178711e+00,-4.242785299349469745e-30
2.276442766189575195e+00,-1.971214575910855978e-29
2.498659849166870117e+00,-4.978660411145019871e-29
2.720881938934326172e+00,-9.485600393598843581e-29
2.943108320236206055e+00,-1.545218974106193949e-28
3.165338039398193359e+00,-2.261366996129973286e-28
3.387570858001708984e+00,-3.057949435980519617e-28
3.609806537628173828e+00,-3.919461955752408072e-28
3.832045316696166992e+00,-4.849895563772895101e-28
4.054286956787109375e+00,-5.860010671382515239e-28
4.276531696319580078e+00,-6.940618666816596983e-28
4.498779296875000000e+00,-8.067682499921729341e-28
4.721029758453369141e+00,-9.234074303973735151e-28
4.943284034729003906e+00,-1.044566816530299548e-27
5.165541172027587891e+00,-1.170994584026096865e-27
5.387802124023437500e+00,-1.303245208115754551e-27
5.610065937042236328e+00,-1.441588511584481258e-27
5.832333087921142578e+00,-1.585945820194048766e-27
6.054603576660156250e+00,-1.735990303632894563e-27
6.276876926422119141e+00,-1.891268597992109892e-27
6.499153614044189453e+00,-2.051858992323934095e-27
6.721433162689208984e+00,-2.218218894990159141e-27
6.943715572357177734e+00,-2.390311520728847233e-27
7.166001319885253906e+00,-2.567722216822971799e-27
7.388289451599121094e+00,-2.749981056366102355e-27
7.610580921173095703e+00,-2.936293208070190286e-27
7.832875251770019531e+00,-3.125695514370047538e-27
8.055172920227050781e+00,-3.317655840822039916e-27
8.277472496032714844e+00,-3.511980246280767627e-27
8.499774932861328125e+00,-3.708577249073872275e-27
8.722081184387207031e+00,-3.906594432607968072e-27
8.944389343261718750e+00,-4.104647823625018348e-27
9.166701316833496094e+00,-4.301995939096434019e-27
9.389015197753906250e+00,-4.498434245262121159e-27
9.611331939697265625e+00,-4.693904579037759275e-27
9.833651542663574219e+00,-4.888279443861029931e-27
1.005597400665283203e+01,-5.081343520764150634e-27
1.027829837799072266e+01,-5.272890350057083073e-27
1.050062656402587891e+01,-5.462710390561877916e-27
1.072295665740966797e+01,-5.650560204733564617e-27
1.094528961181640625e+01,-5.836371614652111867e-27
1.116762447357177734e+01,-6.020192383380140470e-27
1.138996219635009766e+01,-6.201871132824021590e-27
1.161230278015136719e+01,-6.381098943820675514e-27
1.183464622497558594e+01,-6.557525682306212641e-27
1.205699157714843750e+01,-6.730823940190087143e-27
1.227933979034423828e+01,-6.900700976120752159e-27
1.250168991088867188e+01,-7.066884078418082456e-27
1.272404289245605469e+01,-7.229125187305240959e-27
1.294639873504638672e+01,-7.387207828256478543e-27
1.316875648498535156e+01,-7.540832326572448553e-27
1.339111709594726562e+01,-7.689649703747228022e-27
1.361347961425781250e+01,-7.833434240791334767e-27
1.383584403991699219e+01,-7.972063448560305758e-27
1.405821132659912109e+01,-8.105444882416810409e-27
1.428058147430419922e+01,-8.233485327351540378e-27
1.450295257568359375e+01,-8.356083094263432019e-27
1.472532749176025391e+01,-8.473143427399221479e-27
1.494770336151123047e+01,-8.584573882121578170e-27
1.517008209228515625e+01,-8.690285095281082527e-27
1.539246273040771484e+01,-8.790111436902517245e-27
1.561484622955322266e+01,-8.883836432460133201e-27
1.583723163604736328e+01,-8.971322185369912267e-27
1.605961990356445312e+01,-9.052511688105500581e-27
1.628200912475585938e+01,-9.127406481410853654e-27
1.650440025329589844e+01,-9.195834001962954389e-27
1.672679519653320312e+01,-9.257504589898166946e-27
1.694919013977050781e+01,-9.312347370994537874e-27
1.717158889770507812e+01,-9.360480212164663673e-27
1.739398956298828125e+01,-9.402107261982649388e-27
1.761639022827148438e+01,-9.437106801676009748e-27
1.783879470825195312e+01,-9.465131393482777294e-27
1.806120109558105469e+01,-9.486147141035930812e-27
1.828360939025878906e+01,-9.500395170764507583e-27
